carat,cut,color,clarity,depth,table,price,x,y,z,log_price,Label
0.3,Ideal,E,VVS1,62.5,56.0,862.0,4.28,4.3,2.68,2.9355072658247128,normal
1.56,Ideal,I,SI1,62.5,54.0,9788.0,7.45,7.37,4.63,3.9906939606797516,normal
0.32,Ideal,G,VVS2,61.1,55.0,730.0,4.42,4.45,2.71,2.863322860120456,normal
0.53,Ideal,E,VS2,61.9,55.0,1813.0,5.22,5.19,3.22,3.258397804095509,normal
0.73,Ideal,E,SI1,62.2,56.0,2791.0,5.74,5.78,3.58,3.445759836488631,normal
0.4,Very Good,F,VS1,60.4,58.0,868.0,4.75,4.79,2.88,2.938519725176492,normal
0.56,Ideal,D,SI1,61.2,57.0,1664.0,5.37,5.35,3.28,3.2211533219547053,normal
0.32,Premium,H,VVS1,62.9,58.0,936.0,4.37,4.34,2.74,2.971275848738105,normal
0.41,Premium,E,VS1,59.9,58.0,1079.0,4.83,4.88,2.91,3.0330214446829107,normal
0.38,Ideal,G,VS1,62.1,56.0,1040.0,4.68,4.63,2.89,3.0170333392987803,normal
1.53,Premium,F,SI1,62.0,56.0,11370.0,7.47,7.39,4.61,4.055760464687735,normal
1.02,Premium,H,SI2,61.1,61.0,4113.0,6.51,6.48,3.97,3.614158709509175,normal
2.41,Good,I,SI2,57.7,61.0,17923.0,8.87,8.83,5.11,4.253410704790367,normal
0.7,Very Good,E,VS2,58.8,56.0,2473.0,5.79,5.84,3.42,3.3932241163612975,normal
1.05,Premium,H,SI2,63.0,59.0,4234.0,6.48,6.44,4.07,3.6267508536833932,normal
0.24,Ideal,F,VVS1,60.8,55.0,678.0,4.03,4.06,2.46,2.8312296938670634,normal
0.7,Premium,G,VS2,58.1,55.0,2657.0,5.83,5.8,3.38,3.4243915544102776,normal
0.93,Very Good,D,SI2,62.6,57.0,4214.0,6.2,6.26,3.9,3.6246945312720813,normal
2.05,Premium,I,SI1,61.2,57.0,15837.0,8.24,8.21,5.03,4.199672916720621,normal
0.32,Premium,H,VVS1,61.4,58.0,936.0,4.42,4.37,2.7,2.971275848738105,normal
0.51,Premium,E,VS2,61.0,60.0,1656.0,5.12,5.17,3.14,3.219060332448861,normal
1.11,Premium,G,SI1,60.9,59.0,4096.0,6.69,6.64,4.07,3.612359947967774,normal
0.9,Premium,H,SI1,62.8,62.0,3387.0,6.09,6.05,3.81,3.5298151966446305,normal
0.7,Ideal,I,SI2,61.5,53.0,1702.0,5.74,5.77,3.54,3.230959555748569,normal
1.19,Very Good,D,SI2,61.1,58.0,6157.0,6.84,6.88,4.19,3.7893691535914815,normal
0.3,Premium,E,SI1,62.5,59.0,526.0,4.28,4.3,2.68,2.7209857441537393,normal
0.3,Ideal,D,VS2,60.6,58.0,670.0,4.31,4.33,2.62,2.8260748027008264,normal
0.54,Ideal,J,SI1,62.5,54.0,964.0,5.22,5.25,3.27,2.984077033902831,normal
0.5,Fair,H,VS1,66.6,58.0,1134.0,4.95,4.84,3.26,3.0546130545568877,normal
1.12,Premium,G,SI2,61.2,58.0,4084.0,6.67,6.69,4.09,3.6110857334148725,normal
2.01,Fair,D,SI2,66.9,57.0,16086.0,7.87,7.76,5.23,4.206448064366523,normal
0.3,Premium,F,VVS2,62.4,58.0,945.0,4.28,4.25,2.66,2.975431808509263,normal
1.5,Premium,F,VS1,62.2,60.0,15851.0,7.3,7.27,4.53,4.200056665972214,normal
0.71,Premium,E,SI1,60.1,60.0,2552.0,5.78,5.73,3.45,3.4068806700491248,normal
0.55,Ideal,G,VS1,61.5,57.0,1763.0,5.23,5.28,3.23,3.246252312299322,normal
0.52,Good,I,SI1,63.6,60.0,1073.0,5.1,5.05,3.23,3.030599721965951,normal
1.2,Premium,D,VS2,61.1,58.0,10161.0,6.85,6.83,4.18,4.006936451364293,normal
0.73,Ideal,E,SI1,62.8,57.0,2728.0,5.73,5.74,3.6,3.4358443659844413,normal
0.43,Ideal,I,VVS1,62.2,57.0,968.0,4.84,4.81,3.0,2.9858753573083936,normal
1.1,Ideal,H,SI1,62.5,57.0,4764.0,6.6,6.56,4.11,3.67797175281074,normal
0.76,Ideal,H,SI1,61.4,55.0,3050.0,5.82,5.9,3.6,3.484299839346786,normal
0.71,Very Good,G,VS1,64.0,56.0,2630.0,5.65,5.67,3.62,3.419955748489758,normal
1.03,Good,J,I1,58.2,64.0,2220.0,6.64,6.69,3.88,3.346352974450639,normal
1.02,Ideal,J,SI2,60.3,54.0,2879.0,6.53,6.5,3.93,3.459241664878082,normal
0.35,Ideal,G,VVS1,61.0,56.0,1028.0,4.56,4.59,2.79,3.011993114659257,normal
0.34,Good,H,SI1,63.7,57.0,490.0,4.44,4.45,2.83,2.690196080028514,normal
0.7,Fair,G,VS2,64.9,57.0,2479.0,5.55,5.54,3.6,3.3942765267678214,normal
0.5,Ideal,F,VS2,60.9,57.0,1749.0,5.14,5.16,3.14,3.2427898094786767,normal
0.74,Premium,E,VS1,62.8,59.0,3357.0,5.76,5.68,3.59,3.5259513412480126,normal
1.11,Premium,G,SI1,60.1,60.0,5281.0,6.73,6.68,4.03,3.7227161674884948,normal
0.31,Premium,H,IF,60.8,59.0,949.0,4.39,4.36,2.66,2.977266212427293,normal
0.4,Ideal,H,VVS1,62.0,54.0,1017.0,4.72,4.76,2.94,3.0073209529227447,normal
0.51,Ideal,E,VS1,61.5,56.0,1758.0,5.11,5.16,3.16,3.245018870737753,normal
2.01,Good,G,SI2,63.6,59.0,15977.0,8.0,7.95,5.07,4.203495235193291,normal
1.51,Ideal,I,VS2,61.6,57.0,9352.0,7.34,7.28,4.5,3.9709044981537835,normal
0.91,Fair,D,VS2,64.5,55.0,4765.0,6.24,6.07,3.97,3.6780629049743454,normal
0.5,Premium,D,VS2,62.2,60.0,1431.0,5.15,5.05,3.17,3.1556396337597765,normal
0.37,Premium,G,VS1,61.5,58.0,957.0,4.6,4.57,2.82,2.9809119377768436,normal
1.01,Very Good,G,VS1,58.8,58.0,6777.0,6.52,6.61,3.86,3.8310374856400253,normal
0.75,Ideal,J,SI1,61.5,56.0,2850.0,5.83,5.87,3.6,3.45484486000851,normal
0.53,Premium,E,VS2,59.6,58.0,2061.0,5.36,5.32,3.18,3.3140779917792127,normal
0.89,Ideal,D,SI2,60.8,56.0,4192.0,6.22,6.25,3.79,3.6224212739756703,normal
0.9,Good,I,VVS1,63.6,58.0,4114.0,6.14,6.1,3.89,3.614264287358705,normal
0.48,Premium,H,VS1,60.7,61.0,1270.0,5.04,5.01,3.05,3.103803720955957,normal
0.9,Very Good,G,SI2,61.1,55.0,3445.0,6.21,6.26,3.81,3.5371892262436444,normal
0.9,Premium,H,I1,58.8,62.0,1599.0,6.32,6.26,3.7,3.2038484637462346,normal
0.56,Very Good,D,SI1,62.2,63.0,1378.0,5.23,5.28,3.27,3.139249217571607,normal
0.52,Ideal,G,VS2,61.9,55.0,1586.0,5.15,5.19,3.2,3.200303182981585,normal
0.74,Ideal,E,VVS2,62.2,57.0,4082.0,5.78,5.83,3.61,3.6108730003800518,normal
0.81,Premium,D,VS1,62.3,58.0,4284.0,5.94,6.0,3.72,3.631849462159818,normal
0.71,Ideal,F,SI1,62.9,57.0,2381.0,5.71,5.65,3.57,3.37675939540488,normal
1.2,Premium,J,SI2,59.6,62.0,3951.0,6.95,6.9,4.13,3.596707029681446,normal
0.3,Premium,F,VS2,61.4,60.0,776.0,4.34,4.29,2.65,2.8898617212581885,normal
1.19,Very Good,E,SI1,58.0,63.0,5956.0,6.9,6.97,4.02,3.7749546890801384,normal
0.34,Premium,I,SI1,60.0,58.0,589.0,4.55,4.51,2.72,2.7701152947871015,normal
1.22,Ideal,D,VS2,61.7,56.0,10538.0,6.89,6.86,4.24,4.022758194236769,normal
0.45,Good,E,SI1,63.9,57.0,1063.0,4.86,4.81,3.09,3.0265332645232967,normal
1.01,Premium,H,VS2,61.9,62.0,4559.0,6.45,6.37,3.97,3.6588695922019623,normal
1.38,Good,J,SI2,63.7,58.0,4598.0,7.06,7.01,4.48,3.6625689669332604,normal
0.92,Ideal,F,VS2,61.2,56.0,5805.0,6.25,6.3,3.84,3.7638022240745928,normal
0.91,Premium,E,VS1,62.7,59.0,4969.0,6.19,6.15,3.87,3.6962689967455327,normal
1.25,Very Good,E,SI2,60.8,55.0,6073.0,6.94,7.0,4.24,3.7834032811225633,normal
0.41,Ideal,I,VS2,61.5,55.0,747.0,4.8,4.82,2.96,2.873320601815399,normal
0.41,Ideal,I,VVS2,60.7,57.0,894.0,4.81,4.84,2.93,2.951337518795918,normal
2.11,Premium,J,SI2,61.0,58.0,12554.0,8.29,8.2,5.03,4.098782124314692,normal
0.5,Ideal,E,SI1,60.6,57.0,1250.0,5.19,5.14,3.13,3.0969100130080562,normal
0.3,Premium,D,VS2,61.0,58.0,911.0,4.34,4.32,2.64,2.9595183769729982,normal
0.33,Premium,G,VVS2,61.0,58.0,752.0,4.44,4.48,2.72,2.876217840591642,normal
1.32,Premium,I,VS1,62.4,58.0,4719.0,7.01,6.96,4.36,3.6738499773429494,normal
1.57,Ideal,I,SI2,62.8,57.0,7385.0,7.39,7.36,4.63,3.8683504996479683,normal
0.23,Very Good,D,VVS2,61.9,60.0,505.0,3.9,3.95,2.43,2.7032913781186614,normal
1.09,Premium,F,VS1,60.9,58.0,8057.0,6.63,6.67,4.05,3.9061733636440485,normal
0.91,Good,G,SI2,63.6,59.0,3282.0,6.15,6.11,3.9,3.5161385767170743,normal
1.25,Ideal,G,SI2,61.5,56.0,6300.0,7.0,6.92,4.28,3.7993405494535817,normal
0.29,Very Good,D,VVS2,59.1,61.0,600.0,4.33,4.37,2.57,2.7781512503836434,normal
1.01,Very Good,D,VS2,60.6,56.0,7001.0,6.45,6.51,3.93,3.8451600776519457,normal
0.56,Premium,G,SI1,60.2,59.0,1441.0,5.36,5.34,3.22,3.1586639808139894,normal
0.61,Ideal,G,VVS1,62.7,58.0,2544.0,5.39,5.43,3.39,3.4055171069763763,normal
0.71,Good,I,VVS2,63.1,58.0,2428.0,5.64,5.71,3.58,3.38524868240322,normal
0.35,Ideal,D,VVS1,61.5,57.0,1167.0,4.52,4.55,2.79,3.0670708560453703,normal
0.34,Ideal,G,IF,61.3,56.0,974.0,4.52,4.55,2.78,2.9885589568786157,normal
2.01,Premium,I,SI1,60.5,58.0,12829.0,8.2,8.06,4.92,4.108192805135042,normal
1.58,Premium,J,SI1,59.8,58.0,7654.0,7.61,7.57,4.54,3.8838884578884807,normal
1.02,Ideal,E,VS2,60.7,56.0,6704.0,6.58,6.61,4.0,3.82633400562222,normal
0.3,Very Good,G,SI1,59.5,63.0,574.0,4.32,4.29,2.56,2.7589118923979736,normal
0.71,Ideal,F,VS2,62.1,54.0,2780.0,5.68,5.72,3.54,3.444044795918076,normal
1.01,Very Good,I,SI1,64.2,55.0,4475.0,6.28,6.34,4.05,3.650793039651931,normal
1.02,Ideal,G,VS2,60.5,57.0,6356.0,6.51,6.55,3.95,3.803183888535342,normal
0.4,Premium,F,VS1,62.5,59.0,1050.0,4.69,4.66,2.92,3.0211892990699383,normal
0.32,Premium,F,VVS1,60.7,58.0,1235.0,4.4,4.43,2.68,3.0916669575956846,normal
0.74,Good,D,VVS1,59.2,62.6,4274.0,5.85,5.87,3.47,3.630834517828051,normal
0.72,Ideal,F,VS1,61.3,56.0,3759.0,5.74,5.78,3.54,3.5750723257138124,normal
0.75,Ideal,H,SI1,61.9,55.0,3011.0,5.82,5.85,3.61,3.4787107555127594,normal
1.51,Premium,E,SI1,58.3,59.0,12644.0,7.52,7.47,4.37,4.101884487167542,normal
0.53,Good,E,VS2,58.6,62.0,1422.0,5.26,5.32,3.1,3.1528995963937474,normal
1.25,Premium,I,SI2,60.5,58.0,5166.0,7.0,6.96,4.22,3.7131544018372984,normal
0.51,Very Good,E,VS1,62.0,61.0,1636.0,5.11,5.14,3.18,3.2137832993353044,normal
0.32,Ideal,I,VVS2,62.2,54.5,567.0,4.38,4.42,2.74,2.7535830588929064,normal
0.55,Ideal,H,IF,62.3,54.0,1905.0,5.25,5.28,3.28,3.279894980011638,normal
1.02,Ideal,E,VS1,62.6,56.0,8545.0,6.45,6.42,4.03,3.931712067056756,normal
1.2,Ideal,F,VS2,61.2,53.0,8588.0,6.88,6.85,4.2,3.933892035764211,normal
1.0,Premium,E,VVS1,60.3,54.0,10134.0,6.59,6.47,3.94,4.005780899954653,normal
0.3,Ideal,H,SI1,62.0,58.0,407.0,4.25,4.33,2.66,2.60959440922522,normal
0.55,Premium,G,SI2,60.3,58.0,1186.0,5.35,5.33,3.22,3.074084689028244,normal
0.32,Ideal,D,SI1,62.6,55.0,756.0,4.39,4.36,2.74,2.8785217955012063,normal
1.26,Premium,G,VS2,60.1,61.0,8113.0,7.04,6.97,4.21,3.909181475977853,normal
1.22,Ideal,F,SI2,62.5,56.0,6518.0,6.85,6.81,4.27,3.8141143561291253,normal
0.88,Ideal,I,SI1,63.2,56.0,3264.0,6.04,6.09,3.83,3.5137501500818233,normal
0.52,Ideal,E,VS2,60.9,57.0,1689.0,5.21,5.23,3.18,3.227629649571009,normal
0.52,Ideal,G,SI1,62.2,54.0,1352.0,5.18,5.2,3.23,3.130976691605617,normal
0.9,Premium,F,SI2,60.5,57.0,3704.0,6.23,6.2,3.76,3.5686709780098966,normal
0.32,Ideal,D,VS1,61.1,56.0,707.0,4.44,4.47,2.72,2.8494194137968996,normal
0.51,Very Good,D,VS2,63.7,55.0,1599.0,5.05,5.09,3.23,3.2038484637462346,normal
0.84,Premium,F,SI2,62.3,59.0,2863.0,6.06,6.01,3.76,3.456821348021599,normal
1.56,Ideal,H,SI2,62.3,55.0,6716.0,7.39,7.35,4.59,3.827110687466011,normal
0.24,Ideal,F,VVS2,62.6,57.0,552.0,3.93,3.96,2.47,2.741939077729199,normal
0.35,Premium,G,VVS2,62.2,58.0,1024.0,4.54,4.49,2.81,3.010299956639812,normal
0.36,Premium,D,SI2,60.0,58.0,689.0,4.62,4.58,2.76,2.8382192219076257,normal
0.4,Premium,G,IF,59.8,58.0,1333.0,4.79,4.85,2.88,3.1248301494138593,normal
1.52,Very Good,J,SI1,62.3,57.0,7239.0,7.32,7.38,4.58,3.8596785766284483,normal
0.25,Very Good,I,VVS2,62.1,56.0,500.0,4.03,4.05,2.51,2.6989700043360187,normal
1.04,Very Good,F,VS1,61.6,60.0,8090.0,6.49,6.54,4.01,3.9079485216122722,normal
0.73,Ideal,F,VS1,61.2,56.0,2835.0,5.89,5.81,3.58,3.452553063228925,normal
1.11,Very Good,H,SI2,61.5,59.0,4029.0,6.56,6.61,4.05,3.6051972673883776,normal
0.4,Premium,E,SI1,62.0,61.0,882.0,4.71,4.67,2.91,2.94546858513182,normal
0.26,Ideal,E,VVS2,61.3,57.0,733.0,4.12,4.15,2.53,2.8651039746411278,normal
2.1,Fair,G,I1,67.4,59.0,6597.0,7.82,7.76,5.24,3.819346484080453,normal
0.36,Premium,G,SI1,61.8,59.0,537.0,4.55,4.57,2.82,2.7299742856995555,normal
0.57,Very Good,F,VS2,62.0,54.0,1637.0,5.31,5.34,3.3,3.2140486794119414,normal
0.79,Ideal,H,IF,61.3,56.0,4046.0,5.96,5.98,3.66,3.607025878434786,normal
0.34,Ideal,E,SI1,62.9,56.0,765.0,4.48,4.45,2.81,2.8836614351536176,normal
0.9,Premium,H,VS2,60.0,59.0,3629.0,6.23,6.16,3.72,3.5597869682005565,normal
0.9,Very Good,F,SI1,60.4,60.0,3950.0,6.23,6.29,3.78,3.59659709562646,normal
0.32,Ideal,D,SI2,59.8,57.0,477.0,4.4,4.46,2.65,2.678518379040114,normal
0.31,Good,D,SI2,63.6,54.0,593.0,4.34,4.31,2.75,2.7730546933642626,normal
0.35,Premium,G,VS1,60.7,61.0,906.0,4.58,4.54,2.77,2.957128197676813,normal
0.72,Ideal,E,SI2,61.9,55.0,2398.0,5.76,5.78,3.57,3.37984917876283,normal
0.73,Ideal,E,SI1,60.1,56.0,2661.0,5.91,5.87,3.54,3.425044874551389,normal
0.3,Ideal,H,SI1,61.9,57.0,450.0,4.3,4.32,2.67,2.6532125137753435,normal
0.75,Ideal,E,SI2,62.6,55.0,3129.0,5.72,5.79,3.6,3.495405563146193,normal
1.01,Fair,G,SI2,67.1,59.0,2942.0,6.27,6.19,4.18,3.4686426683915115,normal
1.01,Good,I,VS2,63.6,57.0,3620.0,6.3,6.21,3.98,3.558708570533166,normal
0.55,Very Good,E,VVS2,60.6,56.0,2499.0,5.33,5.36,3.24,3.39776625612645,normal
0.3,Ideal,E,VS2,62.0,55.0,658.0,4.25,4.3,2.65,2.8182258936139557,normal
1.99,Premium,G,SI2,59.1,61.0,11486.0,8.08,8.05,4.77,4.060168811945148,normal
0.5,Ideal,D,VVS2,61.8,54.1,2639.0,5.1,5.14,3.16,3.4214393902200495,normal
0.37,Ideal,G,VS2,62.2,57.0,833.0,4.64,4.59,2.87,2.9206450014067875,normal
0.32,Ideal,F,VVS1,61.1,56.0,1061.0,4.45,4.42,2.71,3.025715383901341,normal
0.72,Ideal,F,SI1,61.0,55.0,2920.0,5.78,5.85,3.55,3.4653828514484184,normal
1.09,Premium,I,VS2,60.1,59.0,5306.0,6.74,6.67,4.03,3.7247672456463103,normal
0.9,Very Good,G,VS2,58.8,61.0,4400.0,6.28,6.3,3.7,3.6434526764861874,normal
0.3,Premium,H,SI1,60.8,61.0,540.0,4.3,4.25,2.6,2.7323937598229686,normal
1.15,Premium,H,SI2,61.6,60.0,4830.0,6.75,6.72,4.15,3.683947130751512,normal
0.32,Premium,D,SI1,61.4,58.0,756.0,4.42,4.38,2.7,2.8785217955012063,normal
0.5,Premium,H,SI1,62.9,58.0,1172.0,5.04,5.01,3.16,3.0689276116820716,normal
0.4,Premium,E,SI1,62.0,55.0,945.0,4.74,4.68,2.92,2.975431808509263,normal
0.5,Ideal,G,VVS1,62.1,53.5,1865.0,5.08,5.13,3.17,3.2706788361447066,normal
0.83,Premium,E,SI1,60.7,58.0,3482.0,6.06,6.09,3.69,3.5418287667813124,normal
1.2,Premium,D,SI2,60.2,60.0,4203.0,6.94,6.81,4.14,3.623559390005437,normal
0.4,Very Good,E,SI1,61.4,58.0,687.0,4.77,4.81,2.94,2.8369567370595505,normal
0.33,Ideal,H,VS1,61.9,56.0,579.0,4.44,4.48,2.76,2.762678563727436,normal
0.54,Good,G,VS2,56.9,62.0,1637.0,5.42,5.4,3.08,3.2140486794119414,normal
1.01,Fair,E,SI1,56.8,61.0,5185.0,6.59,6.62,3.75,3.7147487607250596,normal
1.01,Fair,F,SI1,66.1,60.0,3197.0,6.15,6.13,4.06,3.504742636271688,normal
0.31,Ideal,H,VVS2,62.4,57.0,625.0,4.32,4.36,2.71,2.7958800173440754,normal
